STORE_ID,LONGITUDE,LATITUDE,WEEK,MONTH,YEAR,GPS ENPLANEMENTS,TRUE MONTHLY ENPLANED,WEEKLY ENPLANEMENTS,WEEKLY ADJUSTMENT
ENA,-151.247751799804,60.5698137173312,1,1,2019,3332.22,58034000,11231295,21.09
ERI,-80.1745019338308,42.0837435073454,1,1,2019,2931.51,58034000,11231295,21.09
ESC,-87.0940506102139,45.7212359670935,1,1,2019,210.9,58034000,11231295,21.09
EUG,-123.208273072732,44.1208729091192,1,1,2019,9427.23,58034000,11231295,21.09
EVV,-87.5307962842677,38.0430490050952,1,1,2019,17378.16,58034000,11231295,21.09
EWN,-77.0429182115135,35.0735627509358,1,1,2019,2826.06,58034000,11231295,21.09
EWR,-74.1747111010975,40.6915419691437,1,1,2019,217880.79,58034000,11231295,21.09
EYW,-81.7592699688721,24.5554083519107,1,1,2019,13434.33,58034000,11231295,21.09
FAI,-147.860129317334,64.8145244970659,1,1,2019,8140.74,58034000,11231295,21.09
FAR,-96.8145517908876,46.9207158035678,1,1,2019,15416.79,58034000,11231295,21.09
FAT,-119.717965393403,36.7744930814787,1,1,2019,14404.47,58034000,11231295,21.09
FAY,-78.8789164737653,34.9904632920577,1,1,2019,5736.48,58034000,11231295,21.09
FHR,-123.025061098988,48.5244948301854,1,1,2019,527.25,58034000,11231295,21.09
FLG,-111.672441006483,35.1399238387744,1,1,2019,1518.48,58034000,11231295,21.09
FLL,-80.1504634562256,26.0725781275269,1,1,2019,351275.04,58034000,11231295,21.09
FLO,-79.7237092560641,34.1870381482311,1,1,2019,1159.95,58034000,11231295,21.09
FNT,-83.748281595786,42.9665852582105,1,1,2019,10270.83,58034000,11231295,21.09
FSD,-96.7410356215187,43.5800415501289,1,1,2019,13160.16,58034000,11231295,21.09
FSM,-94.3671108426042,35.3378896491896,1,1,2019,9363.96,58034000,11231295,21.09
FWA,-85.1949627475822,40.9815746768108,1,1,2019,11240.97,58034000,11231295,21.09
GCC,-105.537238764664,44.3483561178084,1,1,2019,674.88,58034000,11231295,21.09
GCK,-100.72885638058,37.9286191669122,1,1,2019,611.61,58034000,11231295,21.09
GCN,-112.144972749541,35.9532631056715,1,1,2019,780.33,58034000,11231295,21.09
GEG,-117.53482115935,47.6207351138055,1,1,2019,23662.98,58034000,11231295,21.09
GFK,-97.1728626378573,47.9460591560328,1,1,2019,4492.17,58034000,11231295,21.09
GGG,-94.7125166258532,32.3833286125209,1,1,2019,1370.85,58034000,11231295,21.09
GJT,-108.533119187478,39.1205366032697,1,1,2019,13581.96,58034000,11231295,21.09
GNV,-82.2694078354323,29.6905613180046,1,1,2019,6031.74,58034000,11231295,21.09
GPI,-114.252823495332,48.3102301313896,1,1,2019,3268.95,58034000,11231295,21.09
GPT,-89.069925924488,30.4066477445622,1,1,2019,10418.46,58034000,11231295,21.09
GRB,-88.1322178008906,44.484611961412,1,1,2019,6537.9,58034000,11231295,21.09
GRI,-98.3105286187986,40.9663374734807,1,1,2019,1181.04,58034000,11231295,21.09
GRK,-97.8287814710264,31.0716692725652,1,1,2019,7571.31,58034000,11231295,21.09
GRR,-85.5327486279357,42.8834790766559,1,1,2019,77906.46,58034000,11231295,21.09
GSO,-79.9367788217241,36.1028659587497,1,1,2019,34461.06,58034000,11231295,21.09
GSP,-82.2163190816366,34.8963532070412,1,1,2019,21785.97,58034000,11231295,21.09
GST,-135.706876854519,58.4244899288414,1,1,2019,21.09,58034000,11231295,21.09
